StreamName,X2008,X2009,X2010,X2011,X2013,X2014,X2015,X2017,X2018,X2019,Release_site_type
Admiralty Creek,31,31,31,31,31,31,31,31,31,31,Remote
Amber Creek,47,47,47,47,47,47,47,47,47,47,On-site
Big Goose Creek,117,117,117,117,117,117,117,117,117,117,On-site
Black River,97,97,97,97,97,97,97,97,97,97,On-site
Camp Coogan,8,8,8,8,8,8,8,8,8,8,On-site
Cannery Cove-Pybus Bay,44,44,44,44,44,44,44,44,44,44,On-site
Carroll Creek,66,66,66,66,66,66,66,66,66,66,On-site
Chaik Bay Creek,29,29,29,29,29,29,29,29,29,29,On-site
Chilkat River,13,13,13,13,13,13,13,13,13,13,Remote
Chuck River,76,76,76,76,76,76,76,76,76,76,Remote
Disappearance Creek,68,68,68,68,68,68,68,68,68,68,On-site
Dry Bay Creek,81,81,81,81,81,81,81,81,81,20,On-site
East of Snug Cove,63,63,63,63,63,63,63,63,63,63,On-site
Fish Creek,24,24,24,24,24,24,24,24,24,24,Remote
Fish Creek-Portland Canal,184,184,184,184,184,184,184,184,184,184,Remote
Ford Arm Creek,83,83,83,83,83,83,83,83,83,83,On-site
Freshwater Creek,90,90,90,90,90,90,90,90,90,90,On-site
Game Creek,74,74,74,74,74,74,74,74,74,74,Remote
Glen Creek,84,84,84,84,84,84,84,84,84,84,On-site
Greens Creek,56,56,56,56,56,56,56,56,56,56,Remote
Harding River,61,61,61,61,61,61,61,61,61,61,Remote
Harris River,93,93,93,93,93,93,93,93,93,93,On-site
Herman Creek,1,1,1,1,1,1,1,1,1,1,Remote
Hidden Inlet,65,65,65,65,65,65,65,65,65,65,Remote
Johnston Creek,73,73,73,73,73,73,73,73,73,73,On-site
Kadashan River,83,83,83,83,83,83,83,83,83,83,On-site
Kennel Creek,84,84,84,84,84,84,84,84,84,84,On-site
Ketchikan Creek,25,25,25,25,25,25,25,25,25,25,On-site
King Creek,90,90,90,90,90,90,90,90,90,90,On-site
King Salmon River,118,118,118,118,118,118,118,118,118,118,Remote
Lauras Creek,75,75,75,75,75,75,75,75,75,75,On-site
Little Goose Creek,119,119,119,119,119,119,119,119,119,119,On-site
Long Bay Head,109,109,109,109,109,109,109,109,109,109,On-site
Marten River,106,106,106,106,106,106,106,106,106,106,On-site
Mole River,75,75,75,75,75,75,75,75,75,75,Remote
North Arm Creek,56,56,56,56,56,56,56,56,56,70,Remote
Petrof Bay W Head,48,48,48,48,48,48,48,48,48,48,On-site
Prospect Creek,23,23,23,23,23,23,23,23,23,23,Remote
Ralphs Creek,20,20,20,20,20,20,20,20,20,20,On-site
Robinson Creek,23,23,23,23,23,23,23,23,23,23,Remote
Rodman Creek,54,54,54,54,54,54,54,54,54,54,On-site
Rowan Creek,53,53,53,53,53,53,53,53,53,53,On-site
Saginaw Bay S Head,29,29,29,29,29,29,29,29,29,29,Remote
Saginaw Creek,28,28,28,28,28,28,28,28,28,28,Remote
Saltery Bay,94,94,94,94,94,94,94,94,94,94,On-site
Sample Creek,46,46,46,46,46,46,46,46,46,46,On-site
Sanborn Creek,78,78,78,78,78,78,78,78,78,78,On-site
Saook Bay West Head,42,42,42,42,42,42,42,42,42,42,On-site
Sawmill Creek,16,16,16,16,16,16,16,16,16,16,Remote
Seagull Creek,84,84,84,84,84,84,84,84,84,84,Remote
Seal Bay Head,106,106,106,106,106,106,106,106,106,106,On-site
Sister Lake SE Head,91,91,91,91,91,91,91,91,91,91,On-site
Snug Cove-Gambier Bay,65,65,65,65,65,65,65,65,65,65,On-site
St. James Bay NW Side,15,15,15,15,15,15,15,15,15,15,Remote
Staney Creek,119,119,119,119,119,119,119,119,119,119,On-site
Swan Cove Creek,113,113,113,113,113,113,113,113,113,113,Remote
Tenakee Inlet Head,131,131,131,131,131,131,131,131,131,131,On-site
Ushk,72,72,72,72,72,72,72,72,72,72,On-site
Ushk Bay W End,72,72,72,72,72,72,72,72,72,72,On-site
W Crawfish NE Arm Hd,50,50,50,50,50,50,50,16,16,16,On-site
Weir Creek N Arm Hood Bay,43,43,43,43,43,43,43,43,43,43,On-site
Whale Bay Great Arm Head,84,84,84,84,84,84,84,52,52,52,On-site
Whitewater Creek,21,21,21,21,21,21,21,21,21,21,On-site
Wilson River,15,15,15,15,15,15,15,15,15,15,Remote