StreamName,Watershed_ID,Watershed_km2,mean_flow,CV_flow
Admiralty Creek,11825,83,6.85,0.56
Amber Creek,9784,42,1.7,0.55
Big Goose Creek,10439,92,9.78,0.5
Black River,9823,106,8.8,0.46
Camp Coogan,"8581, 8607",15,1.16,0.5
Cannery Cove-Pybus Bay,9659,12,0.32,0.54
Carroll Creek,4673,544,48.72,0.43
Chaik Bay Creek,9528,55,4.17,0.48
Chilkat River,,,,
Chuck River,10527,169,8.91,0.54
Disappearance Creek,3490,88,7.92,0.48
Dry Bay Creek,"9484, 9513",37,2.62,0.61
East of Snug Cove,"10023, 9965",17,0.65,0.58
Fish Creek,"12335, 12370",36,2.91,0.64
Fish Creek-Portland Canal,,,,
Ford Arm Creek,"9644, 9597",62,4.38,0.47
Freshwater Creek,"10682, 10710",124,1.53,0.56
Game Creek,"11011, 10772",154,15.63,0.55
Glen Creek,10096,309,23.03,0.57
Greens Creek,"11453, 11382",67,5.78,0.58
Harding River,"8069, 8037",260,22.74,0.6
Harris River,4145,224,19.67,0.48
Herman Creek,,,,
Hidden Inlet,,,,
Johnston Creek,10121,118,5.66,0.52
Kadashan River,10139,121,11,0.51
Kennel Creek,10617,65,6.55,0.53
Ketchikan Creek,4306,71,6.27,0.45
King Creek,7049,1709,184.19,0.6
King Salmon River,11482,97,7.64,0.55
Lauras Creek,10177,86,5.41,0.58
Little Goose Creek,10439,92,9.78,0.5
Long Bay Head,10332,76,7.93,0.52
Marten River,4278,333,26.62,0.51
Mole River,10416,74,3.54,0.52
North Arm Creek,,,,
Petrof Bay W Head,"6872, 6873",19,1.17,0.56
Prospect Creek,11795,42,2.7,0.6
Ralphs Creek,9404,33,3.16,0.47
Robinson Creek,12231,64,5.87,0.58
Rodman Creek,9473,69,6.73,0.5
Rowan Creek,"8056, 8058",124,8.86,0.52
Saginaw Bay S Head,8635,34,1.62,0.53
Saginaw Creek,"8634, 8635",70,4.11,0.53
Saltery Bay,10152,118,11.7,0.49
Sample Creek,7462,17,1.13,0.54
Sanborn Creek,9968,70,4.5,0.55
Saook Bay West Head,9577,83,8.56,0.5
Sawmill Creek,13264,24,2.18,0.63
Seagull Creek,10772,139,15.26,0.51
Seal Bay Head,10245,80,7.53,0.51
Sister Lake SE Head,9643,39,3.1,0.43
Snug Cove-Gambier Bay,9964,38,1.53,0.56
St. James Bay NW Side,"12790, 12815",146,13.88,0.58
Staney Creek,5174,186,14.25,0.5
Swan Cove Creek,11320,92,7.33,0.58
Tenakee Inlet Head,10585,120,13.18,0.51
Ushk,9645,55,4.38,0.48
Ushk Bay W End,9645,55,4.38,0.48
W Crawfish NE Arm Hd,7981,102,9.79,0.44
Weir Creek N Arm Hood Bay,9710,172,11.1,0.48
Whale Bay Great Arm Head,7577,110,10.76,0.4
Whitewater Creek,9363,30,2.41,0.49
Wilson River,9197,90,6.05,0.48