Hatchery,Latitude,Longitude
DIPAC,58.326479,-134.464708
Hidden Falls,57.217449,-134.871541
Port Armstrong,56.29605,-134.666441
Sheldon Jackson,57.049934,-135.323395
Medvejie,57.023383,-135.121704
Whitman Lake,55.325476,-131.522406
Neets Bay,55.781557,-131.601256
Burnett Inlet,56.172625,-132.472444
Gunnuk Creek,56.972122,-133.93448
Haines Projects,59.351396,-135.776991
Sawmill Creek,57.048033,-135.22828
Tamgas Creek,55.131679,-131.576008
Nitinat River,48.859347,-124.65578
Wally Noerenberg,60.799121,-148.088477