OBJECTID,AWC,Subregion,Stream_Name,StreamName,Latitude,Longitude,GIS_LABEL_ID,Stream_Number,Location Verified (3/22/21)
1,111-41-10050,NSE Inside,ADMIRALTY CREEK,Admiralty Creek,58.1757,-134.56091,1,111-41-005,X
63,110-22-10040,NSE Inside,AMBER CREEK,Amber Creek,57.362871,-134.083609,64,110-22-004,X
34,112-48-10150,NSE Inside,BIG GOOSE CREEK,Big Goose Creek,57.914283,-135.75456,34,112-48-015,X
45,113-81-10110,NSE Outside,BLACK RIVER,Black River,57.707134,-136.1179,45,113-81-011,X
40,113-41-10344,NSE Outside,CAMP COOGAN,Camp Coogan,57.003894,-135.22678,40,113-41-034,X
46,110-22-10140,NSE Inside,CANNERY COVE-PYBUS BAY,Cannery Cove-Pybus Bay,57.306248,-134.15955,46,110-22-014,X
2,101-45-10780,SSE,CARROLL CREEK,Carroll Creek,55.64054,-131.36523,2,101-45-078,X
3,112-80-10280,NSE Inside,CHAIK BAY CREEK,Chaik Bay Creek,57.306752,-134.443918,3,112-80-028,X
59,115-32-10250,Chilkat River,CHILKAT RIVER,Chilkat River,59.264934,-135.629953,59,115-32-025,X
4,110-32-10090,NSE Inside,CHUCK RIVER,Chuck River,57.57833,-133.35174,4,110-32-009,X
62,102-40-10430,Cholmondeley Sound,DISAPPEARANCE CREEK,Disappearance Creek,55.132097,-132.334334,62,102-40-043,X
47,110-13-10040,NSE Inside,DRY BAY CREEK,Dry Bay Creek,57.06871,-133.02373,47,110-13-004,X
5,110-23-10210,NSE Inside,EAST OF SNUG COVE,East of Snug Cove,57.41776,-133.93299,5,110-23-040,X
6,111-50-10690,NSE Inside,FISH CREEK,Fish Creek,58.332728,-134.601756,6,111-50-069,X
41,101-15-10500-2028,SSE,FISH CREEK-PORTLAND CANAL,Fish Creek-Portland Canal,55.906548,-130.02722,41,101-15-085,X
7,113-73-10030,NSE Outside,FORD ARM CREEK,Ford Arm Creek,57.58192,-135.91527,7,113-73-003,X
8,112-50-10300,NSE Inside,FRESHWATER CREEK,Freshwater Creek,57.94333,-135.2097,8,112-50-030,X
9,114-31-10130,NSE Inside,GAME CREEK,Game Creek,58.09042,-135.47092,9,114-31-013,X
10,110-34-10060,NSE Inside,GLEN CREEK,Glen Creek,57.31787,-133.09792,10,110-34-006,X
11,112-65-10240,NSE Inside,GREENS CREEK,Greens Creek,58.099966,-134.76091,11,112-65-024,X
12,107-40-10490,SSE,HARDING RIVER,Harding River,56.20498,-131.62061,12,107-40-049,X
48,102-60-10820,SSE,HARRIS RIVER,Harris River,55.459622,-132.68952,48,102-60-082,X
60,115-32-10250-2077-3061,NSE Inside,HERMAN CREEK,Herman Creek,59.415631,-136.098654,60,115-32-048,X
13,101-11-11010,SSE,HIDDEN INLET,Hidden Inlet,55.02066,-130.31913,13,101-11-101,X
14,110-23-10100,NSE Inside,JOHNSTON CREEK,Johnston Creek,57.50764,-134.1041,14,110-23-008,X
15,112-42-10250,NSE Inside,KADASHAN RIVER,Kadashan River,57.70235,-135.22044,15,112-42-025,X
35,112-50-10250,NSE Inside,KENNEL CREEK,Kennel Creek,57.89887,-135.15048,35,112-50-020,X
49,101-47-10250,SSE,KETCHIKAN CREEK,Ketchikan Creek,55.340823,-131.6417,49,101-47-025,X
16,101-71-10040-2006,SSE,KING CREEK,King Creek,55.84035,-130.85211,16,101-71-04K,X
17,111-17-10100,NSE Inside,KING SALMON RIVER,King Salmon River,58.042,-134.34145,17,111-17-010,X
61,110-33-10130,NSE Inside,LAURAS CREEK,Lauras Creek,57.412721,-133.346759,61,110-33-013,X
18,112-48-10190,NSE Inside,LITTLE GOOSE CREEK,Little Goose Creek,57.92147,-135.77398,18,112-48-019,X
37,112-47-10100,NSE Inside,LONG BAY HEAD,Long Bay Head,57.855908,-135.65309,37,112-47-010,X
19,101-30-10600,SSE,MARTEN RIVER,Marten River,55.197016,-130.457229,19,101-30-060,X
42,111-13-10100,NSE Inside,MOLE RIVER,Mole River,57.660517,-134.07379,42,111-13-010,X
20,108-40-10150-2007,NSE Inside,NORTH ARM CREEK,North Arm Creek,56.68493,-132.30636,20,108-41-010,X
21,109-62-10240,NSE Inside,PETROF BAY W HEAD,Petrof Bay W Head,56.36373,-134.06805,21,109-62-024,X
22,111-33-10100,NSE Inside,PROSPECT CREEK,Prospect Creek,58.04737,-133.80631,22,111-33-010,X
23,112-21-10060,NSE Inside,RALPHS CREEK,Ralphs Creek,57.328229,-135.021535,23,112-21-006,X
43,112-15-10620,NSE Inside,ROBINSON CREEK,Robinson Creek,58.380675,-135.07881,43,112-15-062,X
24,113-54-10070,NSE Inside,RODMAN CREEK,Rodman Creek,57.43485,-135.39613,24,113-54-007,X
50,109-52-10060,NSE Inside,ROWAN CREEK,Rowan Creek,56.688163,-134.23378,50,109-52-007,X
25,109-44-10370,NSE Inside,SAGINAW BAY S HEAD,Saginaw Bay S Head,56.84968,-134.13589,25,109-44-037,X
51,109-44-10390,NSE Inside,SAGINAW CREEK,Saginaw Creek,56.844679,-134.15974,51,109-44-039,X
38,112-44-10100,NSE Inside,SALTERY BAY,Saltery Bay,57.770285,-135.45083,38,112-44-010,X
52,109-62-10140,NSE Inside,SAMPLE CREEK,Sample Creek,56.474244,-134.03588,52,109-62-014,X
64,110-34-10080,NSE Inside,SANBORN CREEK,Sanborn Creek,57.234998,-133.186333,65,110-34-008,X
53,113-53-10030,NSE Inside,SAOOK BAY WEST HEAD,Saook Bay West Head,57.410254,-135.21727,53,113-53-003,X
26,115-20-10520,NSE Inside,SAWMILL CREEK,Sawmill Creek,58.71843,-134.94561,26,115-20-052,X
65,114-32-10040,NSE Inside,SEAGULL CREEK,Seagull Creek,58.016006,-135.56219,66,114-32-004,X
27,112-46-10070,NSE Inside,SEAL BAY HEAD,Seal Bay Head,57.82324,-135.59499,27,112-46-009,X
28,113-72-10040-2025,NSE Outside,SISTER LAKE SE HEAD,Sister Lake SE Head,57.62557,-135.97804,28,113-72-005,X
54,110-23-10190,NSE Inside,SNUG COVE-GAMBIER BAY,Snug Cove-Gambier Bay,57.424274,-133.97671,54,110-23-019,X
44,115-10-10420,NSE Inside,ST. JAMES BAY NW SIDE,St. James Bay NW Side,58.624498,-135.23361,44,115-10-042,X
55,103-90-10310,SSE,STANEY CREEK,Staney Creek,55.818389,-133.15125,55,103-90-030,X
29,111-16-10450,NSE Inside,SWAN COVE CREEK,Swan Cove Creek,57.9944,-134.34848,29,111-16-040,X
39,112-48-10350,NSE Inside,TENAKEE INLET HEAD,Tenakee Inlet Head,57.99189,-135.89631,39,112-48-035,X
33,113-56-10020,NSE Inside,USHK,Ushk,57.546422,-135.690068,33,113-56-002,X
30,113-56-10030,NSE Inside,USHK BAY W END,Ushk Bay W End,57.54824,-135.67862,30,113-56-003,X
31,113-32-10050,NSE Outside,W CRAWFISH NE ARM HD,W Crawfish NE Arm Hd,56.84966,-135.11491,31,113-32-005,X
56,112-72-10110,NSE Inside,WEIR CREEK N ARM HOOD BAY,Weir Creek N Arm Hood Bay,57.392702,-134.34694,56,112-72-011,X
57,113-22-10150,NSE Outside,WHALE BAY GREAT ARM HEAD,Whale Bay Great Arm Head,56.74647,-134.83079,57,113-22-015,X
32,112-90-10140,NSE Inside,WHITEWATER CREEK,Whitewater Creek,57.24227,-134.53249,32,112-90-014,X
58,112-19-10100,NSE Inside,WILSON RIVER,Wilson River,57.155757,-134.61229,58,112-19-010,X